"Episode 1, Step 1",Simulated action
"Episode 1, Step 11",Simulated action
"Episode 1, Step 21",Simulated action
"Episode 1, Step 31",Simulated action
"Episode 1, Step 41",Simulated action
"Episode 1, Step 51",Simulated action
"Episode 1, Step 61",Simulated action
"Episode 1, Step 71",Simulated action
"Episode 1, Step 81",Simulated action
"Episode 1, Step 91",Simulated action
"Episode 1, Step 1",Simulated action
"Episode 1, Step 11",Simulated action
"Episode 1, Step 21",Simulated action
"Episode 1, Step 31",Simulated action
"Episode 1, Step 41",Simulated action
"Episode 1, Step 51",Simulated action
"Episode 1, Step 61",Simulated action
"Episode 1, Step 71",Simulated action
"Episode 1, Step 81",Simulated action
"Episode 1, Step 91",Simulated action
"Episode 2, Step 1",Simulated action
"Episode 2, Step 11",Simulated action
"Episode 2, Step 21",Simulated action
"Episode 2, Step 31",Simulated action
"Episode 2, Step 41",Simulated action
"Episode 2, Step 51",Simulated action
"Episode 2, Step 61",Simulated action
"Episode 2, Step 71",Simulated action
"Episode 2, Step 81",Simulated action
"Episode 2, Step 91",Simulated action
"Episode 1, Step 1",Simulated action
"Episode 1, Step 11",Simulated action
"Episode 1, Step 21",Simulated action
"Episode 1, Step 31",Simulated action
"Episode 1, Step 41",Simulated action
"Episode 1, Step 51",Simulated action
"Episode 1, Step 61",Simulated action
"Episode 1, Step 71",Simulated action
"Episode 1, Step 81",Simulated action
"Episode 1, Step 91",Simulated action
"Episode 2, Step 1",Simulated action
"Episode 2, Step 11",Simulated action
"Episode 2, Step 21",Simulated action
"Episode 2, Step 31",Simulated action
"Episode 2, Step 41",Simulated action
"Episode 2, Step 51",Simulated action
"Episode 2, Step 61",Simulated action
"Episode 2, Step 71",Simulated action
"Episode 2, Step 81",Simulated action
"Episode 2, Step 91",Simulated action
"Episode 3, Step 1",Simulated action
"Episode 3, Step 11",Simulated action
"Episode 3, Step 21",Simulated action
"Episode 3, Step 31",Simulated action
"Episode 3, Step 41",Simulated action
"Episode 3, Step 51",Simulated action
"Episode 3, Step 61",Simulated action
"Episode 3, Step 71",Simulated action
"Episode 3, Step 81",Simulated action
"Episode 3, Step 91",Simulated action
"Episode 1, Step 1",Simulated action
"Episode 1, Step 11",Simulated action
"Episode 1, Step 21",Simulated action
"Episode 1, Step 31",Simulated action
"Episode 1, Step 41",Simulated action
"Episode 1, Step 51",Simulated action
"Episode 1, Step 61",Simulated action
"Episode 1, Step 71",Simulated action
"Episode 1, Step 81",Simulated action
"Episode 1, Step 91",Simulated action
"Episode 2, Step 1",Simulated action
"Episode 2, Step 11",Simulated action
"Episode 2, Step 21",Simulated action
"Episode 2, Step 31",Simulated action
"Episode 2, Step 41",Simulated action
"Episode 2, Step 51",Simulated action
"Episode 2, Step 61",Simulated action
"Episode 2, Step 71",Simulated action
"Episode 2, Step 81",Simulated action
"Episode 2, Step 91",Simulated action
"Episode 3, Step 1",Simulated action
"Episode 3, Step 11",Simulated action
"Episode 3, Step 21",Simulated action
"Episode 3, Step 31",Simulated action
"Episode 3, Step 41",Simulated action
"Episode 3, Step 51",Simulated action
"Episode 3, Step 61",Simulated action
